x,y,val
-1.8,0.45,-0.0573496
-1.8,0.5,-0.0546273
-1.8,0.55,-0.051905
-1.8,0.6,-0.0491827
-1.8,0.65,-0.0461799
-1.8,0.7,-0.0431771
-1.8,0.75,-0.0401743
-1.8,0.8,-0.0371715
-1.8,0.85,-0.034362
-1.8,0.9,-0.0315526
-1.8,0.95,-0.0287431
-1.8,1,-0.0259337
-1.8,1.05,-0.0236258
-1.8,1.1,-0.0213179
-1.8,1.15,-0.0190101
-1.8,1.2,-0.0167022
-1.8,1.25,-0.0150091
-1.8,1.3,-0.013316
-1.8,1.35,-0.0116229
-1.8,1.4,-0.00992982
-1.8,1.45,-0.00880976
-1.8,1.5,-0.00768971
-1.8,1.55,-0.00656965
-1.8,1.6,-0.0054496
-1.8,1.65,-0.00477741
-1.8,1.7,-0.00410523
-1.8,1.75,-0.00343304
-1.8,1.8,-0.00276086
-1.8,1.85,-0.00239343
-1.8,1.9,-0.00202601
-1.8,1.95,-0.00165859
-1.75,-2,-0.00165859
-1.75,-1.95,-0.00197146
-1.75,-1.9,-0.0024082
-1.75,-1.85,-0.00284493
-1.75,-1.8,-0.00328167
-1.75,-1.75,-0.00408065
-1.75,-1.7,-0.00487964
-1.75,-1.65,-0.00567862
-1.75,-1.6,-0.00647761
-1.75,-1.55,-0.00780895
-1.75,-1.5,-0.00914029
-1.75,-1.45,-0.0104716
-1.75,-1.4,-0.011803
-1.75,-1.35,-0.0138155
-1.75,-1.3,-0.0158279
-1.75,-1.25,-0.0178404
-1.75,-1.2,-0.0198529
-1.75,-1.15,-0.0225961
-1.75,-1.1,-0.0253394
-1.75,-1.05,-0.0280826
-1.75,-1,-0.0308258
-1.75,-0.95,-0.0341652
-1.75,-0.9,-0.0375046
-1.75,-0.85,-0.0408441
-1.75,-0.8,-0.0441835
-1.75,-0.75,-0.0477527
-1.75,-0.7,-0.051322
-1.75,-0.65,-0.0548912
-1.75,-0.6,-0.0584605
-1.75,-0.55,-0.0616963
-1.75,-0.5,-0.0649322
-1.75,-0.45,-0.068168
-1.75,-0.4,-0.0714038
-1.75,-0.35,-0.0736798
-1.75,-0.3,-0.0759557
-1.75,-0.25,-0.0782316
-1.75,-0.2,-0.0805076
-1.75,-0.15,-0.081329
-1.75,-0.1,-0.0821504
-1.75,-0.05,-0.0829718
-1.75,1.20737e-15,-0.0837932
-1.75,0.05,-0.0829718
-1.75,0.1,-0.0821504
-1.75,0.15,-0.081329
-1.75,0.2,-0.0805076
-1.75,0.25,-0.0782316
-1.75,0.3,-0.0759557
-1.75,0.35,-0.0736798
-1.75,0.4,-0.0714038
-1.75,0.45,-0.068168
-1.75,0.5,-0.0649322
-1.75,0.55,-0.0616963
-1.75,0.6,-0.0584605
-1.75,0.65,-0.0548912
-1.75,0.7,-0.051322
-1.75,0.75,-0.0477527
-1.75,0.8,-0.0441835
-1.75,0.85,-0.0408441
-1.75,0.9,-0.0375046
-1.75,0.95,-0.0341652
-1.75,1,-0.0308258
-1.75,1.05,-0.0280826
-1.75,1.1,-0.0253394
-1.75,1.15,-0.0225961
-1.75,1.2,-0.0198529
-1.75,1.25,-0.0178404
-1.75,1.3,-0.0158279
-1.75,1.35,-0.0138155
-1.75,1.4,-0.011803
-1.75,1.45,-0.0104716
-1.75,1.5,-0.00914029
-1.75,1.55,-0.00780895
-1.75,1.6,-0.00647761
-1.75,1.65,-0.00567862
-1.75,1.7,-0.00487964
-1.75,1.75,-0.00408065
-1.75,1.8,-0.00328167
-1.75,1.85,-0.00284493
-1.75,1.9,-0.0024082
-1.75,1.95,-0.00197146
-1.7,-2,-0.00202601
-1.7,-1.95,-0.00228434
-1.7,-1.9,-0.00279038
-1.7,-1.85,-0.00329643
-1.7,-1.8,-0.00380247
-1.7,-1.75,-0.00472826
-1.7,-1.7,-0.00565405
-1.7,-1.65,-0.00657983
-1.7,-1.6,-0.00750562
-1.7,-1.55,-0.00904824
-1.7,-1.5,-0.0105909
-1.7,-1.45,-0.0121335
-1.7,-1.4,-0.0136761
-1.7,-1.35,-0.016008
-1.7,-1.3,-0.0183399
-1.7,-1.25,-0.0206717
-1.7,-1.2,-0.0230036
-1.7,-1.15,-0.0261822
-1.7,-1.1,-0.0293608
-1.7,-1.05,-0.0325393
-1.7,-1,-0.0357179
-1.7,-0.95,-0.0395873
-1.7,-0.9,-0.0434567
-1.7,-0.85,-0.0473261
-1.7,-0.8,-0.0511955
-1.7,-0.75,-0.0553312
-1.7,-0.7,-0.0594669
-1.7,-0.65,-0.0636026
-1.7,-0.6,-0.0677383
-1.7,-0.55,-0.0714877
-1.7,-0.5,-0.075237
-1.7,-0.45,-0.0789864
-1.7,-0.4,-0.0827357
-1.7,-0.35,-0.0853729
-1.7,-0.3,-0.08801
-1.7,-0.25,-0.0906472
-1.7,-0.2,-0.0932843
-1.7,-0.15,-0.094236
-1.7,-0.1,-0.0951878
-1.7,-0.05,-0.0961395
-1.7,1.20737e-15,-0.0970913
-1.7,0.05,-0.0961395
-1.7,0.1,-0.0951878
-1.7,0.15,-0.094236
-1.7,0.2,-0.0932843
-1.7,0.25,-0.0906472
-1.7,0.3,-0.08801
-1.7,0.35,-0.0853729
-1.7,0.4,-0.0827357
-1.7,0.45,-0.0789864
-1.7,0.5,-0.075237
-1.7,0.55,-0.0714877
-1.7,0.6,-0.0677383
-1.7,0.65,-0.0636026
-1.7,0.7,-0.0594669
-1.7,0.75,-0.0553312
-1.7,0.8,-0.0511955
-1.7,0.85,-0.0473261
-1.7,0.9,-0.0434567
-1.7,0.95,-0.0395873
-1.7,1,-0.0357179
-1.7,1.05,-0.0325393
-1.7,1.1,-0.0293608
-1.7,1.15,-0.0261822
-1.7,1.2,-0.0230036
-1.7,1.25,-0.0206717
-1.7,1.3,-0.0183399
-1.7,1.35,-0.016008
-1.7,1.4,-0.0136761
-1.7,1.45,-0.0121335
-1.7,1.5,-0.0105909
-1.7,1.55,-0.00904824
-1.7,1.6,-0.00750562
-1.7,1.65,-0.00657983
-1.7,1.7,-0.00565405
-1.7,1.75,-0.00472826
-1.7,1.8,-0.00380247
-1.7,1.85,-0.00329643
-1.7,1.9,-0.00279038
-1.7,1.95,-0.00228434
-1.65,-2,-0.00239343
-1.65,-1.95,-0.00259721
-1.65,-1.9,-0.00317257
-1.65,-1.85,-0.00374792
-1.65,-1.8,-0.00432328
-1.65,-1.75,-0.00537587
-1.65,-1.7,-0.00642845
-1.65,-1.65,-0.00748104
-1.65,-1.6,-0.00853363
-1.65,-1.55,-0.0102875
-1.65,-1.5,-0.0120415
-1.65,-1.45,-0.0137954
-1.65,-1.4,-0.0155493
-1.65,-1.35,-0.0182005
-1.65,-1.3,-0.0208518
-1.65,-1.25,-0.0235031
-1.65,-1.2,-0.0261543
-1.65,-1.15,-0.0297682
-1.65,-1.1,-0.0333822
-1.65,-1.05,-0.0369961
-1.65,-1,-0.04061
-1.65,-0.95,-0.0450094
-1.65,-0.9,-0.0494088
-1.65,-0.85,-0.0538081
-1.65,-0.8,-0.0582075
-1.65,-0.75,-0.0629097
-1.65,-0.7,-0.0676118
-1.65,-0.65,-0.072314
-1.65,-0.6,-0.0770161
-1.65,-0.55,-0.081279
-1.65,-0.5,-0.0855419
-1.65,-0.45,-0.0898048
-1.65,-0.4,-0.0940677
-1.65,-0.35,-0.097066
-1.65,-0.3,-0.100064
-1.65,-0.25,-0.103063
-1.65,-0.2,-0.106061
-1.65,-0.15,-0.107143
-1.65,-0.1,-0.108225
